"actseq"	"passeq"	"type"	"product"	"pp_ActiveMod"	"pp_PassiveMod"	"pp_NoProduct"	"pp_NewProduct"	"pp_Replicator"	"pp_SelfReplicator"	"pp_AutoReplicator"	"pp_Complex"	"pp_Jumper"	"bprob"	"nsteps"	"actlen"	"paslen"	"ccopy"	"cmove"	"cover"	"ctogg"	"oneway"	"nprod"	"dexec"	"dbind"	"nobs"	"np_MutualRepl"	"np_Parasite"	"np_Hypercycle"
"826"	"$=?>$DB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.644995	24	7	27	7	6	7	0	FALSE	0	TRUE	FALSE	4	FALSE	TRUE	FALSE
"865"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B"	"unknown"	"$=?>$=?$EZUB^B"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	137	27	14	41	39	27	1	FALSE	1	TRUE	FALSE	3	FALSE	TRUE	FALSE
"866"	"$=?>$=?>$EAUB^B$=?>$ABO%}HOB$=?>$=?>$EAUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?>$EAUB^B$=?>$ABO%}HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB"	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	0.595643	264	56	27	83	81	56	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
"885"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	257	27	54	81	79	27	1	FALSE	1	TRUE	FALSE	3	FALSE	TRUE	FALSE
"941"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$DBB^A=>P$EA=B^B$U?>$ZVBO%HOBB"	"unknown"	"$=?>$DBB^A=>P$EA=B^B$U?>$ZVBO%HOBB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.644995	197	27	34	61	59	27	1	FALSE	1	TRUE	FALSE	1	FALSE	TRUE	FALSE
"948"	"$=?>$=?$EZ=B^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	176	27	27	54	52	27	1	FALSE	1	TRUE	FALSE	1	TRUE	FALSE	TRUE
"1031"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?>$EAUB^B"	"unknown"	"$=?>$=?>$EAUB^B"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.595643	140	27	15	42	40	27	1	FALSE	1	TRUE	FALSE	2	FALSE	TRUE	FALSE
"1039"	"$=?CDDBVB^A$=?Q"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.799574	106	15	27	31	27	15	3	FALSE	0	TRUE	FALSE	1	FALSE	TRUE	FALSE
"1083"	"$=?>$DBB^A?>$EAUA^B$=?>$ZVBO%GOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.644995	198	32	27	59	57	32	2	FALSE	0	TRUE	FALSE	1	FALSE	TRUE	FALSE
"1104"	"$=?>$=?$DZU^BB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"empty"	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.581734	51	14	27	14	13	14	1	FALSE	0	TRUE	FALSE	1	FALSE	TRUE	FALSE
"1107"	"$=?>$=?$EZUB^B$=?>$ABO%}HOA$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	257	54	27	81	79	54	1	FALSE	1	TRUE	FALSE	1	TRUE	FALSE	TRUE
"1142"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>DZVBO%HOB"	"unknown"	"$=?>DZVBO%HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.69541	134	27	13	40	38	27	1	FALSE	1	TRUE	FALSE	2	FALSE	TRUE	FALSE
"1173"	"$=?>$=?$EZUB^B$=?>$ABO%}HOB"	"$=?>$=?$EZB^B$=?>$ABO%}HOB"	"unknown"	"$=?>$=?$EZB^B$=?>$ABO%}HOB"	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	0.581734	173	27	26	53	51	27	1	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	TRUE
